S_No,Company_name,Website,Sector,Country,Source,Updated_at,Active,No_of_employees
99,"Arcade Solutions, Inc.",https://www.arcade.co,HR Tech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
100,ArcStone Pte. Ltd.,https://www.arcstone.co,Data & Analytics,Thailand,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
101,Arf Labs OÜ,https://www.arf.one,FinTech,Estonia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
102,"Arka, Inc.",https://www.arka.com,Supply Chain,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
103,"Artiphon, Inc.",https://artiphon.com,Entertainment / Media,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
104,Aruna Labs Inc.,,AI/Machine Learning,UNITED STATES,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
105,Asaak Financial Services Limited Equity,https://www.asaak.com,Credit & Lending,Malaysia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
106,Askria Ltd.,https://www.askria.ai,FinTech,United Kingdom,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
107,"Astronomer, Inc.",https://www.astronomer.io,Developer Tools,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
108,"MediHealth Global Innovation, Inc.",https://at-home-doc.com,"Health Tech, Healthcare",Qatar,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
109,"TripScout, Inc.",https://athotel.com,Travel & Tourism,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
110,Atomionics Pte. Ltd.,https://www.atomionics.com,Aviation,Singapore,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
111,Spot Media Solutions Sdn. Bhd.,https://www.atomx.com,Content,Malaysia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
112,"Audiodraft, Inc.",https://www.audiodraft.com,Social Media,Finland,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
113,Aumet Medical Co.,https://aumet.com,Health Tech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
114,Aarav Unmanned Systems Pvt. Ltd,https://aus.co.in,Aviation,India,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
